choice_en	choice_fa	status	value	id	question	count
Commitment to form a democratic government (people determining their government through voting in free and fair elections based on international standards)	تعهد به تشکیل یک نظام مردم سالار آزاد (مبتنی برحاکمیت مردم در تعیین سرنوشت سیاسی از طریق برگزاری انتخابات آزاد و منصفانه مبتنی بر معیارهای جهانی، به انظمام تامین حقوق اساسی افراد)	published	1	1	34	0
Commitment to the separation of religion from politics in the new government	تعهد به  ایجاد یک نظام عرفی (مبتنی بر جدایی دولت از دین و نهادهای دینی در تشکیل نظام جدید، قانون گذاری، و اجرا)	published	2	2	34	6
Commitment to preserve the territorial integrity of Iran	تعهد بر حفظ تمامیت ارضی کشور ایران	published	3	3	34	3
Commitment to an inclusive process (political, ethnic, gender, religious) for transition	تعهد به فرآیندی فراگیر (سیاسی، قومیتی، جنسیتی، دینی) برای گذار	published	4	4	34	6
Commitment to avoid violent methods in overcoming the repression	تعهد به پرهیز از خشونت به عنوان ابزار غلبه بر دستگاه سرکوب	published	5	5	34	5
Commitment to suspend the death penalty during the transition period (before a new legal system is established)	تعهد به تعلیق مجازات اعدام در دوران گذار (تا پیش از تدوین قوانین نظام جدید)	published	6	6	34	5
Commitment to establish an independent judicial system and adherence to fair trial procedures based on international standards and the rule of law	تعهد به ایجاد دستگاه قضایی مستقل و پایبندی به رویه دادرسی عادلانه بر اساس موازین حقوق بشر سازمان ملل	published	7	7	34	6
Commitment of the transition coordination network not to be "appointed" into any positions of power after the establishment of the new political system	تعهد اعضای شبکه هماهنگی گذار به عدم پذیرش پست‌های «انتصابی» پس از استقرار نظام سیاسی جدید	published	8	8	34	3
Coordination/unity between the opposition is not realistic and the independent activity of these groups suffices	هماهنگی/اتحاد مخالفان واقع‌بینانه  نیست و فعالیت مستقل این گروه‌ها بدون هماهنگی کافیست	published	1	9	35	0
Agreeing to a joint transition charter and independent activities of different groups is needed	توافق روی یک منشور گذار ضروری است اما فعالیت‌ها می‌تواند مستقل باشد	published	2	10	35	7
Network-based decentralized leadership with collective action coordination between political and civil society groups inside and outside of Iran	راهبری غیر متمرکز شبکه‌ای با هماهنگی فعالیت‌های گذار بین گروه‌های سیاسی و مدنی داخل و خارج ایران	published	3	11	35	0
Agreement on a transition charter and formation of a transition council to make coordinated decisions and campaigns is needed	شورایی برای هماهنگی گذار (با توافق بر منشور گذار) تشکیل بدهند و همه از تصمیم‌های آن شورا پیروی کنند.	published	4	12	35	3
Opposition groups must agree on the leadership of one person and delegate the key leadership tasks to this person	همه مخالفین باید روی رهبری یک فرد توافق کنند و  مدیریت گذار را به او واگذار کنند	published	5	13	35	0
No opinion / Don't know	نظری ندارم / نمی‌دانم	published	99	14	35	0
Critical	لازم	draft	1	15	41	1
Useful 	مفید	draft	2	16	41	3
Unimportant 	کم‌اهمیت	draft	3	17	41	2
No Opinion	نظری ندارم	draft	99	18	48	0
Effective	کارا	draft	2	19	48	0
Somewhat Effective 	تا حدی کارا	draft	1	20	48	1
Harmful 	مضر	draft	-2	21	48	5
Effective	کارا	draft	2	22	50	5
Somewhat Effective	تا حدی کارا	draft	1	23	50	0
Little Effect	کم تاثیر 	draft	0	24	50	0
Harmful	مضر	draft	-2	25	50	0
No Opinion	نظری ندارم	draft	99	26	50	0
Effective	کارا	draft	2	27	52	2
Somewhat Effective	تا حدی کارا	draft	1	28	52	2
Little Effect	کم تاثیر	draft	0	29	52	0
Harmful	مضر	draft	-2	30	52	1
No Opinion	نظری ندارم	draft	99	31	52	0
Effective	کارا	draft	2	32	54	0
Somewhat Effective	تا حدی کارا	draft	1	33	54	0
Little Effect	کم تاثیر	draft	0	34	54	0
Harmful	مضر	draft	-2	35	55	0
No Opinion	نظری ندارم	draft	99	36	56	0
Critical 	 لازم	draft	2	37	37	3
Useful 	 مفید	draft	1	38	37	2
Unimportant 	 کم‌اهمیت	draft	0	39	37	1
No Opinion 	 نظری ندارم	draft	99	40	37	0
Critical 	 لازم	draft	2	41	40	1
Useful 	 مفید	draft	1	42	40	4
Unimportant 	 کم‌اهمیت	draft	0	43	40	0
No Opinion 	 نظری ندارم	draft	99	44	40	1
Effective 	 کارا	draft	2	45	42	1
Somewhat Effective 	 تا حدی کارا	draft	1	46	42	2
Harmful 	 مضر	draft	-2	47	42	1
No Opinion 	 نظری ندارم	draft	0	48	42	2
Effective 	 کارا	draft	2	49	43	0
Somewhat Effective 	 تا حدی کارا	draft	1	50	43	2
Harmful 	 مضر	draft	-2	51	43	4
No Opinion 	 نظری ندارم	draft	0	52	43	0
Effective 	 کارا	draft	2	53	47	0
Somewhat Effective 	 تا حدی کارا	draft	1	54	47	1
Harmful 	 مضر	draft	-2	55	47	5
No Opinion 	 نظری ندارم	draft	0	56	47	0
Effective 	 کارا	draft	2	57	55	0
Somewhat Effective 	 تا حدی کارا	draft	1	58	55	0
Little Effect .0	. کم تاثیر	draft	0	59	55	0
Harmful 	 مضر	draft	-2	60	55	0
No Opinion 	 نظری ندارم	draft	99	61	55	0
Effective 	 کارا	draft	2	62	56	0
Somewhat Effective 	 تا حدی کارا	draft	1	63	56	0
Little Effect .0	. کم تاثیر	draft	0	64	56	0
Harmful 	 مضر	draft	-2	65	56	0
No Opinion 	 نظری ندارم	draft	99	66	56	0
Effective 	 کارا	draft	2	67	57	0
Somewhat Effective 	 تا حدی کارا	draft	1	68	57	0
Little Effect 	 کم‌تاثیر	draft	0	69	57	0
Harmful 	 مضر	draft	-2	70	57	0
No Opinion 	 نظری ندارم	draft	99	71	57	0
Effective 	 کارا	draft	2	72	58	0
Somewhat Effective 	 تا حدی کارا	draft	1	73	58	0
Little Effect 	 کم‌تاثیر	draft	0	74	58	0
Harmful 	 مضر	draft	-2	75	58	0
No Opinion 	 نظری ندارم	draft	99	76	58	0
Effective 	 کارا	draft	2	77	60	0
Somewhat Effective 	 تا حدی کارا	draft	1	78	60	0
Little Effect 	 کم‌تاثیر	draft	0	79	60	0
Harmful 	 مضر	draft	-2	80	60	0
No Opinion 	 نظری ندارم	draft	99	81	60	0
Effective 	 کارا	draft	2	82	62	0
Somewhat Effective 	 تا حدی کارا	draft	1	83	62	0
Little Effect 	 کم‌تاثیر	draft	0	84	62	0
Harmful 	 مضر	draft	-2	85	62	0
No Opinion 	 نظری ندارم	draft	99	86	62	0
Effective 	 کارا	draft	2	87	63	0
Somewhat Effective 	 تا حدی کارا	draft	1	88	63	0
Little Effect 	 کم‌تاثیر	draft	0	89	63	0
Harmful 	 مضر	draft	-2	90	63	0
No Opinion 	 نظری ندارم	draft	99	91	63	0
Effective 	 کارا	draft	2	92	66	0
Somewhat Effective 	 تا حدی کارا	draft	1	93	66	0
Little Effect 	 کم‌تاثیر	draft	0	94	66	0
Harmful 	 مضر	draft	-2	95	66	0
No Opinion 	 نظری ندارم	draft	99	96	66	0
Effective 	 کارا	draft	2	97	67	0
Somewhat Effective 	 تا حدی کارا	draft	1	98	67	0
Little Effect 	 کم‌تاثیر	draft	0	99	67	0
Harmful 	 مضر	draft	-2	100	67	0
No Opinion 	 نظری ندارم	draft	99	101	67	0
Effective 	 کارا	draft	2	102	68	0
Somewhat Effective 	 تا حدی کارا	draft	1	103	68	0
Little Effect 	 کم‌تاثیر	draft	0	104	68	0
Harmful 	 مضر	draft	-2	105	68	0
No Opinion 	 نظری ندارم	draft	99	106	68	0
Effective 	 کارا	draft	2	107	69	0
Somewhat Effective 	 تا حدی کارا	draft	1	108	69	0
Little Effect 	 کم‌تاثیر	draft	0	109	69	0
Harmful 	 مضر	draft	-2	110	69	0
No Opinion 	 نظری ندارم	draft	99	111	69	0
Effective 	 کارا	draft	2	112	70	0
Somewhat Effective 	 تا حدی کارا	draft	1	113	70	0
Little Effect 	 کم‌تاثیر	draft	0	114	70	0
Harmful 	 مضر	draft	-2	115	70	0
No Opinion 	 نظری ندارم	draft	99	116	70	0
Effective 	 کارا	draft	2	117	71	0
Somewhat Effective 	 تا حدی کارا	draft	1	118	71	0
Little Effect 	 کم‌تاثیر	draft	0	119	71	0
Harmful 	 مضر	draft	-2	120	71	0
No Opinion 	 نظری ندارم	draft	99	121	71	0
Effective 	 کارا	draft	2	122	72	0
Somewhat Effective 	 تا حدی کارا	draft	1	123	72	0
Little Effect 	 کم‌تاثیر	draft	0	124	72	0
Harmful 	 مضر	draft	-2	125	72	0
No Opinion 	 نظری ندارم	draft	99	126	72	0
Effective 	 کارا	draft	2	127	73	0
Somewhat Effective 	 تا حدی کارا	draft	1	128	73	0
Little Effect 	 کم‌تاثیر	draft	0	129	73	0
Harmful 	 مضر	draft	-2	130	73	0
No Opinion 	 نظری ندارم	draft	99	131	73	0
Effective 	 کارا	draft	2	132	74	0
Somewhat Effective 	 تا حدی کارا	draft	1	133	74	0
Little Effect 	 کم‌تاثیر	draft	0	134	74	0
Harmful 	 مضر	draft	-2	135	74	0
No Opinion 	 نظری ندارم	draft	99	136	74	0
Effective 	 کارا	draft	2	137	75	0
Somewhat Effective 	 تا حدی کارا	draft	1	138	75	0
Little Effect 	 کم‌تاثیر	draft	0	139	75	0
Harmful 	 مضر	draft	-2	140	75	0
No Opinion 	 نظری ندارم	draft	99	141	75	0
Effective 	 کارا	draft	2	142	76	0
Somewhat Effective 	 تا حدی کارا	draft	1	143	76	0
Little Effect 	 کم‌تاثیر	draft	0	144	76	0
Harmful 	 مضر	draft	-2	145	76	0
No Opinion 	 نظری ندارم	draft	99	146	76	0
Effective 	 کارا	draft	2	147	77	0
Somewhat Effective 	 تا حدی کارا	draft	1	148	77	0
Little Effect 	 کم‌تاثیر	draft	0	149	77	0
Harmful 	 مضر	draft	-2	150	77	0
No Opinion 	 نظری ندارم	draft	99	151	77	0
Effective 	 کارا	draft	2	152	78	0
Somewhat Effective 	 تا حدی کارا	draft	1	153	78	0
Little Effect 	 کم‌تاثیر	draft	0	154	78	0
Harmful 	 مضر	draft	-2	155	78	0
No Opinion 	 نظری ندارم	draft	99	156	78	0
Effective 	 کارا	draft	2	157	79	0
Somewhat Effective 	 تا حدی کارا	draft	1	158	79	0
Little Effect 	 کم‌تاثیر	draft	0	159	79	0
Harmful 	 مضر	draft	-2	160	79	0
No Opinion 	 نظری ندارم	draft	99	161	79	0
Effective 	 کارا	draft	2	162	81	0
Somewhat Effective 	 تا حدی کارا	draft	1	163	81	0
Little Effect 	 کم‌تاثیر	draft	0	164	81	0
Harmful 	 مضر	draft	-2	165	81	0
No Opinion 	 نظری ندارم	draft	99	166	81	0
Effective 	 کارا	draft	2	167	83	0
Somewhat Effective 	 تا حدی کارا	draft	1	168	83	0
Little Effect 	 کم‌تاثیر	draft	0	169	83	0
Harmful 	 مضر	draft	-2	170	83	0
No Opinion 	 نظری ندارم	draft	99	171	83	0
Effective 	 کارا	draft	2	172	84	0
Somewhat Effective 	 تا حدی کارا	draft	1	173	84	0
Little Effect 	 کم‌تاثیر	draft	0	174	84	0
Harmful 	 مضر	draft	-2	175	84	0
No Opinion 	 نظری ندارم	draft	99	176	84	0
Effective 	 کارا	draft	2	177	86	0
Somewhat Effective 	 تا حدی کارا	draft	1	178	86	0
Little Effect 	 کم‌تاثیر	draft	0	179	86	0
Harmful 	 مضر	draft	-2	180	86	0
No Opinion 	 نظری ندارم	draft	99	181	86	0
Effective 	 کارا	draft	2	182	87	0
Somewhat Effective 	 تا حدی کارا	draft	1	183	87	0
Little Effect 	 کم‌تاثیر	draft	0	184	87	0
Harmful 	 مضر	draft	-2	185	87	0
No Opinion 	 نظری ندارم	draft	99	186	87	0
Effective 	 کارا	draft	2	187	88	0
Somewhat Effective 	 تا حدی کارا	draft	1	188	88	0
Little Effect 	 کم‌تاثیر	draft	0	189	88	0
Harmful 	 مضر	draft	-2	190	88	0
No Opinion 	 نظری ندارم	draft	99	191	88	0
Effective 	 کارا	draft	2	192	90	0
Somewhat Effective 	 تا حدی کارا	draft	1	193	90	0
Harmful 	 مضر	draft	-2	194	90	0
No Opinion 	 نظری ندارم	draft	0	195	90	0
Effective 	 کارا	draft	2	196	91	0
Somewhat Effective 	 تا حدی کارا	draft	1	197	91	0
Harmful 	 مضر	draft	-2	198	91	0
No Opinion 	 نظری ندارم	draft	0	199	91	0
Effective 	 کارا	draft	2	200	92	0
Somewhat Effective 	 تا حدی کارا	draft	1	201	92	0
Harmful 	 مضر	draft	-2	202	92	0
No Opinion 	 نظری ندارم	draft	0	203	92	0
Effective 	 کارا	draft	2	204	93	0
Somewhat Effective 	 تا حدی کارا	draft	1	205	93	0
Harmful 	 مضر	draft	-2	206	93	0
No Opinion 	 نظری ندارم	draft	0	207	93	0
Effective 	 کارا	draft	2	208	94	0
Somewhat Effective 	 تا حدی کارا	draft	1	209	94	0
Harmful 	 مضر	draft	-2	210	94	0
No Opinion 	 نظری ندارم	draft	0	211	94	0
Effective 	 کارا	draft	2	212	95	0
Somewhat Effective 	 تا حدی کارا	draft	1	213	95	0
Harmful 	 مضر	draft	-2	214	95	0
No Opinion 	 نظری ندارم	draft	0	215	95	0
Effective 	 کارا	draft	2	216	96	0
Somewhat Effective 	 تا حدی کارا	draft	1	217	96	0
Harmful 	 مضر	draft	-2	218	96	0
No Opinion 	 نظری ندارم	draft	0	219	96	0
Effective 	 کارا	draft	2	220	97	0
Somewhat Effective 	 تا حدی کارا	draft	1	221	97	0
Harmful 	 مضر	draft	-2	222	97	0
No Opinion 	 نظری ندارم	draft	0	223	97	0
Effective 	 کارا	draft	2	224	98	0
Somewhat Effective 	 تا حدی کارا	draft	1	225	98	0
Harmful 	 مضر	draft	-2	226	98	0
No Opinion 	 نظری ندارم	draft	0	227	98	0
Effective 	 کارا	draft	2	228	99	0
Somewhat Effective 	 تا حدی کارا	draft	1	229	99	0
Harmful 	 مضر	draft	-2	230	99	0
No Opinion 	 نظری ندارم	draft	0	231	99	0
Effective 	 کارا	draft	2	232	100	0
Somewhat Effective 	 تا حدی کارا	draft	1	233	100	0
Harmful 	 مضر	draft	-2	234	100	0
No Opinion 	 نظری ندارم	draft	0	235	100	0
Effective 	 کارا	draft	2	236	101	0
Somewhat Effective 	 تا حدی کارا	draft	1	237	101	0
Harmful 	 مضر	draft	-2	238	101	0
No Opinion 	 نظری ندارم	draft	0	239	101	0
Effective 	 کارا	draft	2	240	103	0
Somewhat Effective 	 تا حدی کارا	draft	1	241	103	0
Harmful 	 مضر	draft	-2	242	103	0
No Opinion 	 نظری ندارم	draft	0	243	103	0
Effective 	 کارا	draft	2	244	104	0
Somewhat Effective 	 تا حدی کارا	draft	1	245	104	0
Harmful 	 مضر	draft	-2	246	104	0
No Opinion 	 نظری ندارم	draft	0	247	104	0
Agree	خیلی موافق	draft	2	248	105	0
Somewhat Agree	کمی موافق	draft	1	249	105	2
Somewhat disagree	کمی مخالف	draft	-1	250	105	0
Disagree	خیلی مخالف	draft	-2	251	105	4
Agree	خیلی موافق	draft	2	252	106	4
Somewhat Agree	کمی موافق	draft	1	253	106	2
Somewhat disagree	کمی مخالف	draft	-1	254	106	0
Disagree	خیلی مخالف	draft	-2	255	106	0
Agree	خیلی موافق	draft	2	256	107	0
Somewhat Agree	کمی موافق	draft	1	257	107	0
Somewhat disagree	کمی مخالف	draft	-1	258	107	0
Disagree	خیلی مخالف	draft	-2	259	107	6
Agree	خیلی موافق	draft	2	260	108	0
Somewhat Agree	کمی موافق	draft	1	261	108	0
Somewhat disagree	کمی مخالف	draft	-1	262	108	1
Disagree	خیلی مخالف	draft	-2	263	108	5
Agree	خیلی موافق	draft	2	264	109	5
Somewhat Agree	کمی موافق	draft	1	265	109	1
Somewhat disagree	کمی مخالف	draft	-1	266	109	0
Disagree	خیلی مخالف	draft	-2	267	109	0
Critical	لازم	draft	2	268	36	3
Useful	مفید	draft	1	269	36	3
Unimportant	کم‌اهمیت	draft	0	270	36	0
No Opinion	نظری ندارم	draft	99	271	36	0
Critical	لازم	draft	2	276	38	3
Useful	مفید	draft	1	277	38	3
Unimportant	کم‌اهمیت	draft	0	278	38	0
No Opinion	نظری ندارم	draft	99	279	38	0
Critical	لازم	draft	2	280	39	2
Useful	مفید	draft	1	281	39	2
Unimportant	کم‌اهمیت	draft	0	282	39	2
No Opinion	نظری ندارم	draft	99	283	39	0
No Opinion	نظری ندارم	draft	99	291	41	0
Agree	موافق	draft	2	292	49	2
Somewhat Agree	کمی موافق	draft	1	293	49	3
Disagree	مخالف	draft	-2	294	49	1
No Opinion	نظری ندارم	draft	99	295	49	0
Agree	موافق	draft	2	296	110	1
Somewhat Agree	کمی موافق	draft	1	297	110	3
No Opinion	نظری ندارم	draft	99	298	110	0
Disagree	مخالف	draft	-2	299	110	2
Agree	موافق	draft	2	300	111	1
Somewhat Agree	کمی موافق	draft	1	301	111	0
No Opinion	نظری ندارم	draft	99	302	111	2
Disagree	مخالف	draft	-2	303	111	3
Agree	موافق	draft	2	304	112	1
Somewhat Agree	کمی موافق	draft	1	305	112	3
No Opinion	نظری ندارم	draft	99	306	112	0
Disagree	مخالف	draft	-2	307	112	2
Agree	موافق	draft	2	308	113	3
Somewhat Agree	کمی موافق	draft	1	309	113	2
No Opinion	نظری ندارم	draft	99	310	113	0
Disagree	مخالف	draft	-2	311	113	1
Agree	موافق	draft	2	312	114	3
Somewhat Agree	کمی موافق	draft	1	313	114	2
No Opinion	نظری ندارم	draft	99	314	114	0
Disagree	مخالف	draft	-2	315	114	1
Effective	کارا	draft	2	316	44	4
Somewhat Effective	تا حدی کارا	draft	1	317	44	2
No Opinion	نظری ندارم	draft	99	318	44	0
Harmful	مضر	draft	-2	319	44	0
Effective	کارا	draft	2	320	45	5
Somewhat Effective	تا حدی کارا	draft	1	321	45	1
No Opinion	نظری ندارم	draft	99	322	45	0
Harmful	مضر	draft	-2	323	45	0
Effective	کارا	draft	2	324	46	2
Somewhat Effective	تا حدی کارا	draft	1	325	46	2
No Opinion	نظری ندارم	draft	99	326	46	2
Harmful	مضر	draft	-2	327	46	0
Effective	کارا	draft	2	328	102	0
Somewhat Effective	تا حدی کارا	draft	1	329	102	0
No Opinion	نظری ندارم	draft	99	330	102	0
Harmful	مضر	draft	-2	331	102	0
Effective	کارا	draft	2	332	51	3
Somewhat Effective	تا حدی کارا	draft	1	333	51	1
Little Effect	کم تاثیر	draft	0	334	51	0
No Opinion	نظری ندارم	draft	99	335	51	0
Harmful	مضر	draft	-2	336	51	1
Effective	کارا	draft	2	337	53	0
Somewhat Effective	تا حدی کارا	draft	1	338	53	0
Little Effect	کم تاثیر	draft	0	339	53	0
No Opinion	نظری ندارم	draft	99	340	53	0
Harmful	مضر	draft	-2	341	53	0
Effective	کارا	draft	2	342	59	0
Somewhat Effective	تا حدی کارا	draft	1	343	59	0
Little Effect	کم تاثیر	draft	0	344	59	0
No Opinion	نظری ندارم	draft	99	345	59	0
Harmful	مضر	draft	-2	346	59	0
Effective	کارا	draft	2	347	61	0
Somewhat Effective	تا حدی کارا	draft	1	348	61	0
Little Effect	کم تاثیر	draft	0	349	61	0
No Opinion	نظری ندارم	draft	99	350	61	0
Harmful	مضر	draft	-2	351	61	0
Effective	کارا	draft	2	352	64	0
Somewhat Effective	تا حدی کارا	draft	1	353	64	0
Little Effect	کم تاثیر	draft	0	354	64	0
No Opinion	نظری ندارم	draft	99	355	64	0
Harmful	مضر	draft	-2	356	64	0
Effective	کارا	draft	2	357	65	0
Somewhat Effective	تا حدی کارا	draft	1	358	65	0
Little Effect	کم تاثیر	draft	0	359	65	0
No Opinion	نظری ندارم	draft	99	360	65	0
Harmful	مضر	draft	-2	361	65	0
Effective	کارا	draft	2	362	80	0
Somewhat Effective	تا حدی کارا	draft	1	363	80	0
Little Effect	کم تاثیر	draft	0	364	80	0
No Opinion	نظری ندارم	draft	99	365	80	0
Harmful	مضر	draft	-2	366	80	0
Effective	کارا	draft	2	367	82	0
Somewhat Effective	تا حدی کارا	draft	1	368	82	0
Little Effect	کم تاثیر	draft	0	369	82	0
No Opinion	نظری ندارم	draft	99	370	82	0
Harmful	مضر	draft	-2	371	82	0
Effective	کارا	draft	2	372	85	0
Somewhat Effective	تا حدی کارا	draft	1	373	85	0
Little Effect	کم تاثیر	draft	0	374	85	0
No Opinion	نظری ندارم	draft	99	375	85	0
Harmful	مضر	draft	-2	376	85	0
Effective	کارا	draft	2	377	89	0
Somewhat Effective	تا حدی کارا	draft	1	378	89	0
Little Effect	کم تاثیر	draft	0	379	89	0
No Opinion	نظری ندارم	draft	99	380	89	0
Harmful	مضر	draft	-2	381	89	0